id,title,isbn,publication_date,price,language,pages,publisher_id,description,tags,authors
1,1984,978-0451524935,1949-06-08,12.99,en,328,1,Dystopian masterpiece about totalitarianism and surveillance.,fiction dystopian classic,1
2,Pride and Prejudice,978-0141439518,1813-01-28,9.99,en,432,1,Elizabeth Bennet navigates love and society in Regency England.,fiction romance classic,2
3,To Kill a Mockingbird,978-0061120084,1960-07-11,14.99,en,324,2,Scout Finch witnesses racial injustice in Depression-era Alabama.,fiction classic southern-gothic,78
4,The Great Gatsby,978-0743273565,1925-04-10,11.99,en,180,3,Jay Gatsby pursues the American Dream in the Jazz Age.,fiction classic literary,5
5,Harry Potter and the Philosopher's Stone,978-0747532699,1997-06-26,15.99,en,223,4,Young wizard discovers his magical heritage at Hogwarts School.,fantasy young-adult adventure,61
6,The Lord of the Rings,978-0618640157,1954-07-29,24.99,en,1178,5,Epic quest to destroy the One Ring and save Middle-earth.,fantasy epic-fantasy adventure,62
7,Animal Farm,978-0452284244,1945-08-17,10.99,en,112,1,Satirical allegory of Soviet totalitarianism through farm animals.,fiction political-satire classic,1
8,Brave New World,978-0060850524,1932-01-01,13.99,en,268,6,Dystopian vision of a genetically engineered society.,fiction dystopian science-fiction,70
9,The Catcher in the Rye,978-0316769488,1951-07-16,12.99,en,277,7,Holden Caulfield's alienated journey through New York City.,fiction coming-of-age classic,181
10,The Hobbit,978-0547928227,1937-09-21,14.99,en,310,5,Bilbo Baggins' unexpected adventure with dwarves and a dragon.,fantasy adventure classic,62
11,The Shadow of the Wind,978-0143034902,2001-04-15,16.99,en,487,8,A young boy discovers a mysterious book that changes his life in post-war Barcelona.,fiction mystery historical,48
12,Dune,978-0441172719,1965-06-01,18.99,en,688,9,Paul Atreides must navigate desert politics and prophecy on planet Arrakis.,science-fiction space-opera adventure,182
13,Foundation,978-0553293357,1951-05-01,15.99,en,255,10,Psychohistorian Hari Seldon predicts the fall of the Galactic Empire.,science-fiction hard-sf classic,72
14,Neuromancer,978-0441569595,1984-07-01,14.99,en,271,11,Console cowboy Case enters cyberspace for one last job.,science-fiction cyberpunk noir,171
15,The Name of the Rose,978-0156001311,1980-09-01,17.99,en,536,12,Franciscan friar investigates mysterious deaths in a medieval monastery.,mystery historical literary,24
16,One Hundred Years of Solitude,978-0060883287,1967-05-30,16.99,en,417,13,The Buendía family saga spans generations in magical Macondo.,fiction magical-realism literary,8
17,The Handmaid's Tale,978-0385490818,1985-06-01,14.99,en,311,14,Offred survives in a totalitarian theocracy where women are enslaved.,fiction dystopian feminist,11
18,The Road,978-0307387899,2006-09-26,15.99,en,287,15,A father and son journey through post-apocalyptic America.,fiction post-apocalyptic literary,17
19,American Gods,978-0380789030,2001-06-19,17.99,en,635,16,Ex-convict Shadow Moon discovers old gods living in modern America.,fantasy urban-fantasy mythology,183
20,Good Omens,978-0060853983,1990-05-01,16.99,en,432,17,An angel and demon team up to prevent the apocalypse.,fantasy comedy paranormal,183 184
21,The Silence of the Lambs,978-0312924584,1988-06-01,14.99,en,338,18,FBI trainee Clarice Starling seeks help from imprisoned cannibal Hannibal Lecter.,thriller crime horror,185
22,Gone Girl,978-0307588371,2012-06-05,15.99,en,415,19,Amy Dunne disappears on her fifth wedding anniversary.,thriller mystery psychological,186
23,The Girl with the Dragon Tattoo,978-0307454546,2005-08-01,16.99,en,465,20,Journalist and hacker investigate a decades-old disappearance.,mystery thriller crime,187
24,The Shining,978-0307743657,1977-01-28,14.99,en,447,21,Jack Torrance descends into madness at the isolated Overlook Hotel.,horror psychological supernatural,188
25,It,978-0451169518,1986-09-15,19.99,en,1138,21,Seven children confront an ancient evil in the town of Derry.,horror supernatural coming-of-age,188
26,Dracula,978-0486411095,1897-05-26,10.99,en,418,22,Count Dracula leaves Transylvania for England seeking new blood.,horror gothic classic,189
27,Frankenstein,978-0486282114,1818-01-01,9.99,en,280,22,Victor Frankenstein creates life with horrifying consequences.,horror gothic science-fiction classic,190
28,Wuthering Heights,978-0141439556,1847-12-01,11.99,en,416,1,Heathcliff and Catherine's destructive love spans two generations.,fiction romance gothic classic,191
29,Jane Eyre,978-0141441146,1847-10-16,12.99,en,507,1,Orphaned Jane becomes governess at Thornfield Hall.,fiction romance gothic classic,192
30,Moby-Dick,978-0142437247,1851-10-18,13.99,en,635,23,Captain Ahab obsessively pursues the white whale.,fiction adventure classic,193
31,Catch-22,978-1451626650,1961-11-10,15.99,en,453,24,Bombardier Yossarian struggles with military absurdity in World War II.,fiction satire war classic,194
32,Slaughterhouse-Five,978-0385333849,1969-03-31,14.99,en,275,25,Billy Pilgrim becomes unstuck in time during World War II.,fiction science-fiction war postmodern,76
33,The Hitchhiker's Guide to the Galaxy,978-0345391803,1979-10-12,13.99,en,224,26,Arthur Dent survives Earth's destruction with alien friend Ford Prefect.,science-fiction comedy space-opera,195
34,Ender's Game,978-0812550702,1985-01-15,15.99,en,324,27,Child genius Ender Wiggin trains to fight an alien invasion.,science-fiction military-sf young-adult,196
35,The Left Hand of Darkness,978-0441478125,1969-03-01,14.99,en,304,11,Diplomat Genly Ai navigates gender politics on planet Gethen.,science-fiction literary anthropological,75
36,A Game of Thrones,978-0553103540,1996-08-01,19.99,en,694,28,Noble families vie for control of the Iron Throne.,fantasy epic-fantasy political,197
37,The Eye of the World,978-0812511819,1990-01-15,17.99,en,782,29,Farm boy Rand al'Thor discovers he's part of an ancient prophecy.,fantasy epic-fantasy adventure,198
38,The Way of Kings,978-0765326355,2010-08-31,21.99,en,1007,30,Knights Radiant return as the world faces Desolation.,fantasy epic-fantasy military,199
39,Mistborn: The Final Empire,978-0765311788,2006-07-17,16.99,en,541,30,Street urchin Vin learns she's a powerful Mistborn allomancer.,fantasy epic-fantasy heist,199
40,The Name of the Wind,978-0756404741,2007-03-27,17.99,en,662,31,Kvothe recounts his journey from innkeeper to legendary wizard.,fantasy literary-fantasy coming-of-age,200
41,A Wizard of Earthsea,978-0547722023,1968-11-01,13.99,en,183,32,Young wizard Ged must face the shadow he unleashed.,fantasy coming-of-age classic,75
42,The Princess Bride,978-0156035217,1973-11-01,14.99,en,465,33,True love and high adventure in the tale of Westley and Buttercup.,fantasy romance comedy adventure,201
43,The Once and Future King,978-0441627400,1958-01-01,16.99,en,639,34,Arthur's rise from boy to legendary king of Britain.,fantasy arthurian classic,202
44,Jonathan Strange & Mr Norrell,978-0765356154,2004-09-08,19.99,en,1006,35,Two magicians restore English magic during the Napoleonic Wars.,fantasy historical literary,203
45,The Ocean at the End of the Lane,978-0062255655,2013-06-18,14.99,en,178,16,A man returns home and remembers supernatural events from childhood.,fantasy dark-fantasy literary,183
46,Neverwhere,978-0380789016,1996-09-16,15.99,en,370,16,Richard Mayhew falls through the cracks into magical London Below.,fantasy urban-fantasy adventure,183
47,The Graveyard Book,978-0060530921,2008-09-30,14.99,en,312,16,Nobody Owens is raised by ghosts in a graveyard.,fantasy young-adult gothic,183
48,Coraline,978-0380977789,2002-07-02,12.99,en,162,16,Girl discovers alternate world behind a secret door.,fantasy horror young-adult,183
49,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,978-0064471046,1950-10-16,13.99,en,206,5,Four children enter magical Narnia through a wardrobe.,fantasy young-adult classic adventure,63
50,A Wrinkle in Time,978-0312367541,1962-01-01,12.99,en,211,4,Meg Murry travels through space and time to rescue her father.,science-fiction young-adult adventure,204
51,The Giver,978-0544336261,1993-04-26,11.99,en,179,8,Jonas discovers the dark truth behind his seemingly perfect community.,science-fiction dystopian young-adult,205
52,Fahrenheit 451,978-1451673319,1953-10-19,13.99,en,249,24,Fireman Guy Montag burns books in a future where reading is forbidden.,science-fiction dystopian classic,71
53,The Hunger Games,978-0439023481,2008-09-14,15.99,en,374,9,Katniss Everdeen volunteers for a televised fight to the death.,science-fiction dystopian young-adult,180
54,Divergent,978-0062024039,2011-04-25,14.99,en,487,10,Tris Prior must hide her Divergent nature in faction-based Chicago.,science-fiction dystopian young-adult,206
55,The Maze Runner,978-0385737951,2009-10-06,14.99,en,375,11,Thomas wakes in a maze with no memory of his past.,science-fiction dystopian young-adult,207
56,Ready Player One,978-0307887436,2011-08-16,16.99,en,374,12,Wade Watts hunts for Easter egg in massive virtual reality game.,science-fiction cyberpunk adventure,179
57,Snow Crash,978-0553380958,1992-06-01,15.99,en,440,13,Hacker Hero Protagonist uncovers a mind virus in the Metaverse.,science-fiction cyberpunk thriller,172
58,The Martian,978-0553418026,2011-09-27,16.99,en,369,14,Astronaut Mark Watney must survive alone on Mars.,science-fiction hard-sf survival,176
59,Project Hail Mary,978-0593135204,2021-05-04,18.99,en,476,15,Ryland Grace wakes on a spaceship with no memory of his mission.,science-fiction hard-sf space-opera,176
60,The Three-Body Problem,978-0765382030,2008-05-01,17.99,en,399,17,Scientist Ye Wenjie makes contact with alien Trisolaran civilization.,science-fiction hard-sf first-contact,208
61,Children of Time,978-0316452502,2015-06-04,16.99,en,600,18,Uplifted spiders and last humans compete for habitable world.,science-fiction space-opera evolution,209
62,The Expanse: Leviathan Wakes,978-0316129084,2011-06-02,17.99,en,561,19,Detective and ship captain uncover conspiracy in colonized solar system.,science-fiction space-opera mystery,210
63,Hyperion,978-0553283686,1989-05-26,16.99,en,482,20,Seven pilgrims journey to meet the Shrike on planet Hyperion.,science-fiction space-opera literary,211
64,The Stars My Destination,978-0679767800,1956-01-01,14.99,en,236,21,Gully Foyle seeks revenge in a future where teleportation is common.,science-fiction space-opera classic,212
65,Do Androids Dream of Electric Sheep?,978-0345404473,1968-01-01,13.99,en,210,22,Bounty hunter Rick Deckard must retire six escaped androids.,science-fiction cyberpunk philosophical classic,74
66,I Robot,978-0553382563,1950-12-02,12.99,en,224,23,Nine stories explore the Three Laws of Robotics.,science-fiction robot-fiction classic,72
67,The Time Machine,978-0486284729,1895-05-07,9.99,en,118,22,Time Traveler journeys to year 802701 and beyond.,science-fiction time-travel classic,213
68,The War of the Worlds,978-0486295060,1898-01-01,10.99,en,192,22,Martians invade Victorian England with devastating heat-rays.,science-fiction alien-invasion classic,213
69,Twenty Thousand Leagues Under the Sea,978-0486440682,1870-01-01,11.99,en,335,24,Professor Aronnax becomes captive on Captain Nemo's submarine.,science-fiction adventure classic,38
70,Journey to the Center of the Earth,978-0486440880,1864-11-25,10.99,en,183,24,Professor Lidenbrock descends into an Icelandic volcano.,science-fiction adventure classic,38
71,The Count of Monte Cristo,978-0140449266,1844-08-28,16.99,en,1276,25,Edmond Dantès escapes prison to exact elaborate revenge.,fiction adventure classic,37
72,The Three Musketeers,978-0140440089,1844-03-01,14.99,en,625,25,D'Artagnan joins three legendary musketeers in 17th century France.,fiction adventure historical classic,37
73,Les Misérables,978-0451419439,1862-04-03,19.99,en,1463,26,Jean Valjean seeks redemption in post-revolutionary France.,fiction historical classic,36
74,Crime and Punishment,978-0486415871,1866-01-01,12.99,en,430,27,Raskolnikov commits murder to test his theory of the extraordinary man.,fiction philosophical crime classic,52
75,The Brothers Karamazov,978-0374528379,1880-01-01,18.99,en,796,28,Three brothers struggle with faith morality and patricide.,fiction philosophical classic,52
76,War and Peace,978-0307266934,1869-01-01,21.99,en,1296,29,Russian aristocracy during Napoleonic invasion.,fiction historical epic classic,51
77,Anna Karenina,978-0143035008,1877-01-01,17.99,en,864,30,Anna's affair with Count Vronsky leads to tragedy.,fiction romance classic,51
78,The Picture of Dorian Gray,978-0486278070,1890-07-01,10.99,en,254,22,Dorian Gray's portrait ages while he remains young.,fiction gothic philosophical classic,214
79,The Strange Case of Dr Jekyll and Mr Hyde,978-0486266886,1886-01-05,8.99,en,96,22,Dr. Jekyll's experiments unleash his dark alter ego.,horror gothic classic,215
